id_municipio,municipio,sigla_uf,regiao,populacao,area_km2,pib_mil_reais,vab_agropecuaria,vab_industria,vab_servicos,vab_adm_publica
4213104,Piratuba,SC,Sul,3637,146.088,801159,37415,620211,98281,33492
4213153,Planalto Alegre,SC,Sul,2907,63.1,141935,47353,7827,55787,20966
4213203,Pomerode,SC,Sul,34561,214.299,2806453,31201,976319,805348,221105
4213302,Ponte Alta,SC,Sul,4619,575.17,175776,58456,36993,38960,30719
4213351,Ponte Alta do Norte,SC,Sul,3426,396.882,166641,65666,32647,31434,24536
4213401,Ponte Serrada,SC,Sul,11674,560.731,291075,80923,26542,106173,60652
4213500,Porto Belo,SC,Sul,22466,93.673,1472149,33796,136544,945434,149322
4213609,Porto União,SC,Sul,35685,848.779,1149833,107608,300732,462955,172604
4213708,Pouso Redondo,SC,Sul,17965,356.539,719081,76167,212709,269089,90165
4213807,Praia Grande,SC,Sul,7305,284.36,223279,44600,25348,100509,37441
4213906,Presidente Castello Branco,SC,Sul,1526,65.433,75923,31305,2815,19773,16864
4214003,Presidente Getúlio,SC,Sul,17973,297.16,985125,79440,397134,317799,101843
4214102,Presidente Nereu,SC,Sul,2279,224.748,62744,24918,3698,14876,17076
4214151,Princesa,SC,Sul,2950,85.598,135911,32983,44960,22469,21876
4214201,Quilombo,SC,Sul,9773,278.983,462642,85829,128114,153807,52106
4214300,Rancho Queimado,SC,Sul,2897,286.461,165751,69531,13839,50271,22354
4214409,Rio das Antas,SC,Sul,6199,314.913,288090,128246,42450,56437,42430
4214508,Rio do Campo,SC,Sul,5864,502.095,212941,72003,27790,63253,36732
4214607,Rio do Oeste,SC,Sul,7552,245.057,276136,109044,31932,78362,41643
4214706,Rio dos Cedros,SC,Sul,11937,555.473,475005,39232,151591,172072,62156
4214805,Rio do Sul,SC,Sul,72931,260.817,3690347,31947,765570,1987907,416920
4214904,Rio Fortuna,SC,Sul,4630,302.39,302785,104014,93511,58556,28559
4215000,Rio Negrinho,SC,Sul,42684,907.42,1614643,75101,497243,632678,229572
4215059,Rio Rufino,SC,Sul,2484,282.571,70066,32641,2976,14339,18188
4215075,Riqueza,SC,Sul,4525,191.061,147665,46111,21103,43372,28553
4215109,Rodeio,SC,Sul,11647,129.001,390081,25957,108787,139167,61352
4215208,Romelândia,SC,Sul,4584,223.333,111333,48643,2743,28343,27674
4215307,Salete,SC,Sul,7674,177.887,318174,40586,110222,99286,45288
4215356,Saltinho,SC,Sul,3727,156.568,93630,37067,6830,22345,23614
4215406,Salto Veloso,SC,Sul,4792,104.531,266923,26234,87874,93630,30706
4215455,Sangão,SC,Sul,13128,82.984,466692,19910,149923,127810,65697
4215505,Santa Cecília,SC,Sul,17004,1145.845,662060,70364,240240,192888,95047
4215554,Santa Helena,SC,Sul,2178,81.004,103613,33039,21176,24205,17306
4215604,Santa Rosa de Lima,SC,Sul,2151,203.218,72830,27208,7335,15555,19354
4215653,Santa Rosa do Sul,SC,Sul,8397,150.299,199094,53004,10615,74695,47029
4215679,Santa Terezinha,SC,Sul,8760,715.551,268988,121067,26612,61305,47939
4215687,Santa Terezinha do Progresso,SC,Sul,2317,119.653,65119,24151,7355,13079,17483
4215695,Santiago do Sul,SC,Sul,1211,73.335,48482,16312,4128,12064,13890
4215703,Santo Amaro da Imperatriz,SC,Sul,23907,344.235,1256507,36488,620128,399328,135384
4215752,São Bernardino,SC,Sul,2239,149.891,88164,30720,15766,18982,17345
4215802,São Bento do Sul,SC,Sul,86317,495.772,4697511,64366,1915426,1657827,482136
4215901,São Bonifácio,SC,Sul,2791,461.438,112432,26427,23823,33869,19387
4216008,São Carlos,SC,Sul,11456,162.12,520825,118742,150364,147121,64044
4216057,São Cristóvão do Sul,SC,Sul,5646,345.903,219812,28269,66091,65461,33660
4216107,São Domingos,SC,Sul,9422,367.525,450004,111814,101209,157898,48437
4216206,São Francisco do Sul,SC,Sul,54751,493.266,8516615,37018,3145502,3223222,361017
4216255,São João do Oeste,SC,Sul,6423,163.747,353230,109596,62043,110046,38884
4216305,São João Batista,SC,Sul,39719,200.765,1029819,19831,306958,393246,193175
4216354,São João do Itaperiú,SC,Sul,3784,151.885,338152,94603,110152,76218,27268
4216404,São João do Sul,SC,Sul,7332,184.375,282920,106917,22832,95292,41540
4216503,São Joaquim,SC,Sul,27322,1888.634,1133378,483707,56441,404482,140728
4216602,São José,SC,Sul,253705,150.499,13840195,9971,1507100,7911688,1337225
4216701,São José do Cedro,SC,Sul,13811,280.76,568200,109036,112565,215672,77647
4216800,São José do Cerrito,SC,Sul,8054,948.714,318824,155721,47799,65133,40051
4216909,São Lourenço do Oeste,SC,Sul,24501,356.193,1389521,88702,404413,545332,146849
4217006,São Ludgero,SC,Sul,13886,106.765,929265,178637,286433,270385,76314
4217105,São Martinho,SC,Sul,3162,224.566,109266,35910,9945,34208,20829
4217154,São Miguel da Boa Vista,SC,Sul,1794,72.755,50300,22593,1164,9622,15343
4217204,São Miguel do Oeste,SC,Sul,41246,234.202,2174480,84879,529496,1106142,222905
4217253,São Pedro de Alcântara,SC,Sul,6046,139.196,101140,21106,7299,33888,32675
4217303,Saudades,SC,Sul,9874,205.781,527168,98201,179098,133040,52751
4217402,Schroeder,SC,Sul,22605,165.237,759499,33413,230649,278337,116520
4217501,Seara,SC,Sul,17610,309.627,1178644,156687,394792,388888,102127
4217550,Serra Alta,SC,Sul,3249,90.564,118038,37282,14639,37124,20484
4217600,Siderópolis,SC,Sul,14176,262.004,679557,34887,291547,221068,76079
4217709,Sombrio,SC,Sul,31084,143.457,910386,180626,133752,382999,146622
4217758,Sul Brasil,SC,Sul,2386,113.125,83395,36760,6052,19602,16668
4217808,Taió,SC,Sul,18576,693.847,844678,134781,183930,330866,99964
4217907,Tangará,SC,Sul,8648,390.044,600872,136334,201333,147617,56454
4217956,Tigrinhos,SC,Sul,1606,56.962,65554,24486,7996,14314,15465
4218004,Tijucas,SC,Sul,39889,279.159,2438156,48606,556676,1155307,231877
